rank,feature,feature_type,mi_score
1,la,JIT,0.06325080150690887
2,age,JIT,0.036892868782014254
3,nf,JIT,0.03226672797423169
4,ent,JIT,0.032037718995054254
5,nd,JIT,0.030464389551090543
6,ld,JIT,0.029253273175765093
7,asexp,JIT,0.02577523624639322
8,ns,JIT,0.024840921306606534
9,ndev,JIT,0.020565351868877535
10,arexp,JIT,0.018917244302450786
11,nuc,JIT,0.017633300773193028
12,pca_1,CodeBERT_PCA,0.015900536140030175
13,pca_4,CodeBERT_PCA,0.015170401184589677
14,aexp,JIT,0.012526592810288673
15,pca_9,CodeBERT_PCA,0.009270862461934648
16,pca_16,CodeBERT_PCA,0.00703467783345757
17,pca_26,CodeBERT_PCA,0.006327545352522224
18,pca_3,CodeBERT_PCA,0.006176637836286636
19,pca_46,CodeBERT_PCA,0.005722726150657387
20,pca_177,CodeBERT_PCA,0.005450052945731532
21,pca_241,CodeBERT_PCA,0.00541019605766202
22,pca_109,CodeBERT_PCA,0.0053053191549830014
23,pca_142,CodeBERT_PCA,0.005144163498491672
24,pca_254,CodeBERT_PCA,0.005141966289838207
25,pca_27,CodeBERT_PCA,0.004959804830828585
26,pca_212,CodeBERT_PCA,0.004843998750376333
27,pca_93,CodeBERT_PCA,0.004783798028726416
28,pca_42,CodeBERT_PCA,0.004576274628363963
29,pca_41,CodeBERT_PCA,0.004543721245388044
30,pca_248,CodeBERT_PCA,0.0045221565074931025
31,pca_213,CodeBERT_PCA,0.004493930527907919
32,pca_182,CodeBERT_PCA,0.004465624452423489
33,pca_107,CodeBERT_PCA,0.004439351028908023
34,pca_337,CodeBERT_PCA,0.004285096824561796
35,pca_258,CodeBERT_PCA,0.004251475802883098
36,pca_131,CodeBERT_PCA,0.004245327093487683
37,pca_307,CodeBERT_PCA,0.004170095187221445
38,pca_118,CodeBERT_PCA,0.004146804146778038
39,pca_363,CodeBERT_PCA,0.004121737975091522
40,pca_160,CodeBERT_PCA,0.004055018340562766
41,pca_6,CodeBERT_PCA,0.0040325208101077425
42,pca_328,CodeBERT_PCA,0.004020316377249422
43,pca_129,CodeBERT_PCA,0.003951777275146284
44,pca_65,CodeBERT_PCA,0.003949155180585917
45,pca_157,CodeBERT_PCA,0.003868785124550911
46,pca_220,CodeBERT_PCA,0.0038634724636177342
47,pca_18,CodeBERT_PCA,0.003823895257012211
48,pca_158,CodeBERT_PCA,0.003819256940976734
49,pca_259,CodeBERT_PCA,0.0038073335957178323
50,pca_239,CodeBERT_PCA,0.003756863584872594
51,pca_279,CodeBERT_PCA,0.003740635009835014
52,pca_271,CodeBERT_PCA,0.0037235104716601963
53,pca_156,CodeBERT_PCA,0.003683201748166942
54,pca_357,CodeBERT_PCA,0.0036440614581008113
55,pca_97,CodeBERT_PCA,0.0035966048959577
56,pca_123,CodeBERT_PCA,0.003555083473824938
57,pca_29,CodeBERT_PCA,0.003500354100093084
58,pca_176,CodeBERT_PCA,0.0034760605378842957
59,pca_89,CodeBERT_PCA,0.0034530469057920676
60,pca_291,CodeBERT_PCA,0.0033555520013346385
61,pca_48,CodeBERT_PCA,0.0033363644827602013
62,pca_8,CodeBERT_PCA,0.0033290053858541224
63,pca_315,CodeBERT_PCA,0.003298049600098718
64,pca_136,CodeBERT_PCA,0.0032874923204044837
65,pca_262,CodeBERT_PCA,0.003189196951977946
66,pca_84,CodeBERT_PCA,0.003180322546231018
67,pca_306,CodeBERT_PCA,0.003154712832189155
68,pca_59,CodeBERT_PCA,0.0031529633502243026
69,pca_331,CodeBERT_PCA,0.003146657631803329
70,pca_90,CodeBERT_PCA,0.0031115907483809657
71,pca_187,CodeBERT_PCA,0.0031003335335253457
72,pca_17,CodeBERT_PCA,0.0030817438157513255
73,pca_308,CodeBERT_PCA,0.0030574752087304535
74,pca_288,CodeBERT_PCA,0.003046848056700302
75,pca_87,CodeBERT_PCA,0.0030061446126408153
76,pca_169,CodeBERT_PCA,0.003004292286236554
77,pca_155,CodeBERT_PCA,0.0029945491416139003
78,pca_85,CodeBERT_PCA,0.002979419156965646
79,pca_260,CodeBERT_PCA,0.0029625574978973113
80,pca_159,CodeBERT_PCA,0.002952787621973929
81,pca_370,CodeBERT_PCA,0.002907904506842085
82,pca_92,CodeBERT_PCA,0.0028958748200020867
83,pca_321,CodeBERT_PCA,0.00288115855438531
84,pca_355,CodeBERT_PCA,0.0028282739138272284
85,pca_384,CodeBERT_PCA,0.002825366806390228
86,pca_110,CodeBERT_PCA,0.002808022651535902
87,pca_325,CodeBERT_PCA,0.0027571752497310698
88,pca_368,CodeBERT_PCA,0.0027282316050278865
89,pca_381,CodeBERT_PCA,0.0027139956324531145
90,pca_274,CodeBERT_PCA,0.00271383110292156
91,pca_360,CodeBERT_PCA,0.002696396702000836
92,pca_137,CodeBERT_PCA,0.0026960441398267143
93,pca_280,CodeBERT_PCA,0.0026824613885634285
94,pca_231,CodeBERT_PCA,0.002679512153818786
95,pca_293,CodeBERT_PCA,0.0026590597259295023
96,pca_104,CodeBERT_PCA,0.0026449070106335792
97,pca_242,CodeBERT_PCA,0.0025984006315775687
98,pca_206,CodeBERT_PCA,0.002590572430473115
99,pca_103,CodeBERT_PCA,0.002557789069093541
100,pca_5,CodeBERT_PCA,0.0025193409686281587
101,pca_287,CodeBERT_PCA,0.002475469950672604
102,pca_300,CodeBERT_PCA,0.0024579585927235748
103,pca_36,CodeBERT_PCA,0.002434406130255029
104,pca_140,CodeBERT_PCA,0.002426677519680842
105,pca_327,CodeBERT_PCA,0.002388812867041734
106,pca_23,CodeBERT_PCA,0.0023395412360289747
107,pca_184,CodeBERT_PCA,0.0023172688652175477
108,pca_170,CodeBERT_PCA,0.002284914556496931
109,pca_94,CodeBERT_PCA,0.002279166146931466
110,pca_52,CodeBERT_PCA,0.0022562582859921854
111,pca_282,CodeBERT_PCA,0.0022549940195430995
112,pca_257,CodeBERT_PCA,0.002222693227252881
113,pca_75,CodeBERT_PCA,0.0022055521193520278
114,pca_127,CodeBERT_PCA,0.002184675560618965
115,pca_342,CodeBERT_PCA,0.0021626604283957462
116,pca_147,CodeBERT_PCA,0.002158303024121677
117,pca_336,CodeBERT_PCA,0.002150570537772012
118,pca_19,CodeBERT_PCA,0.002142152716949619
119,pca_266,CodeBERT_PCA,0.0021306100309710363
120,pca_115,CodeBERT_PCA,0.0021194243544877533
121,pca_234,CodeBERT_PCA,0.0020808469456297107
122,pca_365,CodeBERT_PCA,0.002076448245017737
123,pca_284,CodeBERT_PCA,0.002045214218522773
124,pca_54,CodeBERT_PCA,0.0020316857295328283
125,pca_77,CodeBERT_PCA,0.002025781953811867
126,pca_221,CodeBERT_PCA,0.002014152120630497
127,pca_243,CodeBERT_PCA,0.002013348900031575
128,pca_369,CodeBERT_PCA,0.002012643176385609
129,pca_372,CodeBERT_PCA,0.0020004155376478483
130,pca_146,CodeBERT_PCA,0.0019971708146386824
131,pca_323,CodeBERT_PCA,0.0019221811981817716
132,pca_64,CodeBERT_PCA,0.0018899168706307812
